"","pmid","title","nodeA","edge","nodeB","context","nodeA_normalized","edge_normalized","nodeB_normalized","context_normalized"
"157","33614908","Targeting YTHDF1 effectively re-sensitizes cisplatin-resistant colon cancer cells by modulating GLS-mediated glutamine metabolism.","YTHDF1","resensitize","Cisplatin-resistant colon cancer cells","Cisplatin-resistant colon cancer","YTHDF1","SENSITIZES","Cisplatin-resistant colon cancer cells","Cisplatin-resistant colon cancer"
"250","33614908","Targeting YTHDF1 effectively re-sensitizes cisplatin-resistant colon cancer cells by modulating GLS-mediated glutamine metabolism.","YTHDF1","modulate","GLS","Cisplatin-resistant colon cancer","YTHDF1","AFFECTS","Cisplatin-resistant colon cancer cells","Cisplatin-resistant colon cancer"
"353","33614908","Targeting YTHDF1 effectively re-sensitizes cisplatin-resistant colon cancer cells by modulating GLS-mediated glutamine metabolism.","GLS","mediate","glutamine metabolism","Cisplatin-resistant colon cancer","GLS","AFFECTS","glutamine metabolic process","Cisplatin-resistant colon cancer"
"431","33614908","Targeting YTHDF1 effectively re-sensitizes cisplatin-resistant colon cancer cells by modulating GLS-mediated glutamine metabolism.","glutamine metabolism","cause","Cisplatin-resistant colon cancer","Cisplatin-resistant colon cancer","glutamine metabolic process","CAUSES","Cisplatin-resistant colon cancer","Cisplatin-resistant colon cancer"
"158","34094960","METTL3 Promotes Esophageal Squamous Cell Carcinoma Metastasis Through Enhancing GLS2 Expression.","METTL3","promote","Metastasis","Esophageal Squamous Cell Carcinoma","METTL3","STIMULATES","Neoplasm Metastasis","ESCA(Esophageal Carcinoma)"
"251","34094960","METTL3 Promotes Esophageal Squamous Cell Carcinoma Metastasis Through Enhancing GLS2 Expression.","METTL3","enhance","GLS2","Esophageal Squamous Cell Carcinoma","METTL3","AUGMENTS","Neoplasm Metastasis","ESCA(Esophageal Carcinoma)"
"354","34094960","METTL3 Promotes Esophageal Squamous Cell Carcinoma Metastasis Through Enhancing GLS2 Expression.","GLS2","promote","Metastasis","Esophageal Squamous Cell Carcinoma","GLS2","STIMULATES","Neoplasm Metastasis","ESCA(Esophageal Carcinoma)"
"159","33378974","N6-methyladenosine (m6A) methyltransferase WTAP accelerates the Warburg effect of gastric cancer through regulating HK2 stability.","WTAP","accelerate","Warburg effect","Gastric Cancer","WTAP","STIMULATES","Warburg effect","STAD(Stomach adenocarcinoma)"
"252","33378974","N6-methyladenosine (m6A) methyltransferase WTAP accelerates the Warburg effect of gastric cancer through regulating HK2 stability.","WTAP","regulate","HK2","Gastric Cancer","WTAP","AFFECTS","Warburg effect","STAD(Stomach adenocarcinoma)"
"355","33378974","N6-methyladenosine (m6A) methyltransferase WTAP accelerates the Warburg effect of gastric cancer through regulating HK2 stability.","HK2","accelerate","Warburg effect","Gastric Cancer","HK2","STIMULATES","Warburg effect","STAD(Stomach adenocarcinoma)"
"160","32323801","METTL14 promotes the migration and invasion of breast cancer cells by modulating N6-methyladenosine and hsa-miR-146a-5p expression.","METTL14","promote","Migration","Breast Cancer","METTL14","STIMULATES","migration","BRCA(Breast Invasive Carcinoma)"
"253","32323801","METTL14 promotes the migration and invasion of breast cancer cells by modulating N6-methyladenosine and hsa-miR-146a-5p expression.","METTL14","promote","Invasion","Breast Cancer","METTL14","STIMULATES","migration","BRCA(Breast Invasive Carcinoma)"
"356","32323801","METTL14 promotes the migration and invasion of breast cancer cells by modulating N6-methyladenosine and hsa-miR-146a-5p expression.","METTL14","modulate","N6-methyladenosine","Breast Cancer","METTL14","AFFECTS","migration","BRCA(Breast Invasive Carcinoma)"
"432","32323801","METTL14 promotes the migration and invasion of breast cancer cells by modulating N6-methyladenosine and hsa-miR-146a-5p expression.","METTL14","modulate","hsa-miR-146a-5p","Breast Cancer","METTL14","AFFECTS","migration","BRCA(Breast Invasive Carcinoma)"
"515","32323801","METTL14 promotes the migration and invasion of breast cancer cells by modulating N6-methyladenosine and hsa-miR-146a-5p expression.","N6-methyladenosine","promote","Migration","Breast Cancer","m6A","STIMULATES","migration","BRCA(Breast Invasive Carcinoma)"
"612","32323801","METTL14 promotes the migration and invasion of breast cancer cells by modulating N6-methyladenosine and hsa-miR-146a-5p expression.","hsa-miR-146a-5p","promote","Migration","Breast Cancer","hsa-miR-146a-5p","STIMULATES","migration","BRCA(Breast Invasive Carcinoma)"
"72","32323801","METTL14 promotes the migration and invasion of breast cancer cells by modulating N6-methyladenosine and hsa-miR-146a-5p expression.","N6-methyladenosine","promote","Invasion","Breast Cancer","m6A","STIMULATES","migration","BRCA(Breast Invasive Carcinoma)"
"81","32323801","METTL14 promotes the migration and invasion of breast cancer cells by modulating N6-methyladenosine and hsa-miR-146a-5p expression.","hsa-miR-146a-5p","promote","Invasion","Breast Cancer","hsa-miR-146a-5p","STIMULATES","migration","BRCA(Breast Invasive Carcinoma)"
"161","33794982","HNRNPA2B1 promotes multiple myeloma progression by increasing AKT3 expression via m6A-dependent stabilization of ILF3 mRNA.","HNRNPA2B1","promote","Progression","Multiple Myeloma","HNRNPA2B1","STIMULATES","progression","Multiple Myeloma"
"256","33794982","HNRNPA2B1 promotes multiple myeloma progression by increasing AKT3 expression via m6A-dependent stabilization of ILF3 mRNA.","HNRNPA2B1","bind","m6A","Multiple Myeloma","HNRNPA2B1","INTERACTS_WITH","progression","Multiple Myeloma"
"357","33794982","HNRNPA2B1 promotes multiple myeloma progression by increasing AKT3 expression via m6A-dependent stabilization of ILF3 mRNA.","m6A","stabilize","ILF3","Multiple Myeloma","m6A","MAINTAINS","ILF3","Multiple Myeloma"
"433","33794982","HNRNPA2B1 promotes multiple myeloma progression by increasing AKT3 expression via m6A-dependent stabilization of ILF3 mRNA.","ILF3","increase","AKT3","Multiple Myeloma","ILF3","AUGMENTS","AKT3","Multiple Myeloma"
"516","33794982","HNRNPA2B1 promotes multiple myeloma progression by increasing AKT3 expression via m6A-dependent stabilization of ILF3 mRNA.","AKT3 expression","promote","Progression","Multiple Myeloma","AKT3","STIMULATES","progression","Multiple Myeloma"
"162","34044094","ALKBH5-modified HMGB1-STING Activation Contributes to Radiation Induced Liver Disease Via Innate Immune Response.","ALKBH5","modify","HMGB1-STING Activation","Radiation Induced Liver Disease","ALKBH5","AFFECTS","HMGB1-STING Activation","Radiation Induced Liver Disease"
"257","34044094","ALKBH5-modified HMGB1-STING Activation Contributes to Radiation Induced Liver Disease Via Innate Immune Response.","HMGB1-STING Activation","contribute","Radiation Induced Liver Disease","Radiation Induced Liver Disease","HMGB1-STING Activation","AFFECTS","Radiation Induced Liver Disease","Radiation Induced Liver Disease"
"358","34044094","ALKBH5-modified HMGB1-STING Activation Contributes to Radiation Induced Liver Disease Via Innate Immune Response.","HMGB1-STING Activation","regulate","Innate Immune Response","Radiation Induced Liver Disease","HMGB1-STING Activation","AFFECTS","Radiation Induced Liver Disease","Radiation Induced Liver Disease"
"434","34044094","ALKBH5-modified HMGB1-STING Activation Contributes to Radiation Induced Liver Disease Via Innate Immune Response.","Innate Immune Response","contribute","Radiation Induced Liver Disease","Radiation Induced Liver Disease","innate immune response","AFFECTS","Radiation Induced Liver Disease","Radiation Induced Liver Disease"
"163","32329830","m6A methyltransferase METTL3 promotes the progression of prostate cancer via m6A-modified LEF1.","METTL3","promote","Progression","Prostate Cancer","METTL3","STIMULATES","progression","PRAD(Prostate Adenocarcinoma)"
"258","32329830","m6A methyltransferase METTL3 promotes the progression of prostate cancer via m6A-modified LEF1.","METTL3","modify","m6A","Prostate Cancer","METTL3","AFFECTS","progression","PRAD(Prostate Adenocarcinoma)"
"359","32329830","m6A methyltransferase METTL3 promotes the progression of prostate cancer via m6A-modified LEF1.","m6A","is on","LEF1","Prostate Cancer","m6A","LOCATES","LEF1","PRAD(Prostate Adenocarcinoma)"
"435","32329830","m6A methyltransferase METTL3 promotes the progression of prostate cancer via m6A-modified LEF1.","LEF1","promote","Progression","Prostate Cancer","LEF1","STIMULATES","progression","PRAD(Prostate Adenocarcinoma)"
"164","32116145","GR-mediated FTO transactivation induces lipid accumulation in hepatocytes via demethylation of m6A on lipogenic mRNAs.","GR","mediate","FTO transactivation","Hepatocytes","GSR","AFFECTS","FTO transactivation","Hepatocytes"
"259","32116145","GR-mediated FTO transactivation induces lipid accumulation in hepatocytes via demethylation of m6A on lipogenic mRNAs.","FTO transactivation","induce","Lipid Accumulation","Hepatocytes","FTO transactivation","CAUSES","Lipid Accumulation","Hepatocytes"
"360","32116145","GR-mediated FTO transactivation induces lipid accumulation in hepatocytes via demethylation of m6A on lipogenic mRNAs.","FTO transactivation","demethylate","m6A","Hepatocytes","FTO transactivation","CONVERTS_TO","Lipid Accumulation","Hepatocytes"
"436","32116145","GR-mediated FTO transactivation induces lipid accumulation in hepatocytes via demethylation of m6A on lipogenic mRNAs.","m6A","is on","lipogenic mRNAs","Hepatocytes","m6A","LOCATES","lipogenic mRNAs","Hepatocytes"
"517","32116145","GR-mediated FTO transactivation induces lipid accumulation in hepatocytes via demethylation of m6A on lipogenic mRNAs.","lipogenic mRNAs","regulate","Lipid Accumulation","Hepatocytes","lipogenic mRNAs","AFFECTS","Lipid Accumulation","Hepatocytes"
"165","33748113","METTL3 Regulates Ossification of the Posterior Longitudinal Ligament via the lncRNA XIST/miR-302a-3p/USP8 Axis.","METTL3","regulate","Ossification","Ossification of the Posterior Longitudinal Ligament","METTL3","AFFECTS","ossification","Ossification of the Posterior Longitudinal Ligament"
"260","33748113","METTL3 Regulates Ossification of the Posterior Longitudinal Ligament via the lncRNA XIST/miR-302a-3p/USP8 Axis.","METTL3","regulate","lncRNA XIST/miR-302a-3p/USP8 Axis","Ossification of the Posterior Longitudinal Ligament","METTL3","AFFECTS","ossification","Ossification of the Posterior Longitudinal Ligament"
"361","33748113","METTL3 Regulates Ossification of the Posterior Longitudinal Ligament via the lncRNA XIST/miR-302a-3p/USP8 Axis.","lncRNA XIST/miR-302a-3p/USP8 Axis","regulate","Ossification","Ossification of the Posterior Longitudinal Ligament","XIST/miR-302a-3p/USP8 Axis","AFFECTS","ossification","Ossification of the Posterior Longitudinal Ligament"
"166","30032148","ALKBH5 Inhibits Pancreatic Cancer Motility by Decreasing Long Non-Coding RNA KCNK15-AS1 Methylation.","ALKBH5","inhibit","Motility","Pancreatic Cancer","ALKBH5","INHIBITS","motility","PAAD(Pancreatic Adenocarcinoma)"
"261","30032148","ALKBH5 Inhibits Pancreatic Cancer Motility by Decreasing Long Non-Coding RNA KCNK15-AS1 Methylation.","ALKBH5","decrease","KCNK15-AS1","Pancreatic Cancer","ALKBH5","INHIBITS","motility","PAAD(Pancreatic Adenocarcinoma)"
"362","30032148","ALKBH5 Inhibits Pancreatic Cancer Motility by Decreasing Long Non-Coding RNA KCNK15-AS1 Methylation.","KCNK15-AS1","inhibit","Motility","Pancreatic Cancer","KCNK15-AS1","INHIBITS","motility","PAAD(Pancreatic Adenocarcinoma)"
"167","32766145","Reduced Expression of METTL3 Promotes Metastasis of Triple-Negative Breast Cancer by m6A Methylation-Mediated COL3A1 Up-Regulation.","dummy","reduce","METTL3","Triple-Negative Breast Cancer","dummy","INHIBITS","METTL3","BRCA(Breast Invasive Carcinoma)"
"265","32766145","Reduced Expression of METTL3 Promotes Metastasis of Triple-Negative Breast Cancer by m6A Methylation-Mediated COL3A1 Up-Regulation.","METTL3","promote","Metastasis","Triple-Negative Breast Cancer","METTL3","STIMULATES","Neoplasm Metastasis","BRCA(Breast Invasive Carcinoma)"
"363","32766145","Reduced Expression of METTL3 Promotes Metastasis of Triple-Negative Breast Cancer by m6A Methylation-Mediated COL3A1 Up-Regulation.","METTL3","regulate","m6A","Triple-Negative Breast Cancer","METTL3","AFFECTS","Neoplasm Metastasis","BRCA(Breast Invasive Carcinoma)"
"437","32766145","Reduced Expression of METTL3 Promotes Metastasis of Triple-Negative Breast Cancer by m6A Methylation-Mediated COL3A1 Up-Regulation.","m6A","upregulate","COL3A1","Triple-Negative Breast Cancer","m6A","STIMULATES","COL3A1","BRCA(Breast Invasive Carcinoma)"
"518","32766145","Reduced Expression of METTL3 Promotes Metastasis of Triple-Negative Breast Cancer by m6A Methylation-Mediated COL3A1 Up-Regulation.","COL3A1","promote","Metastasis","Triple-Negative Breast Cancer","COL3A1","STIMULATES","Neoplasm Metastasis","BRCA(Breast Invasive Carcinoma)"
"168","33380825","METTL14 Inhibits Hepatocellular Carcinoma Metastasis Through Regulating EGFR/PI3K/AKT Signaling Pathway in an m6A-Dependent Manner.","METTL14","inhibit","Metastasis","Hepatocellular Carcinoma","METTL14","INHIBITS","Neoplasm Metastasis","LIHC(Liver Hepatocellular Carcinoma)"
"266","33380825","METTL14 Inhibits Hepatocellular Carcinoma Metastasis Through Regulating EGFR/PI3K/AKT Signaling Pathway in an m6A-Dependent Manner.","METTL14","regulate","m6A","Hepatocellular Carcinoma","METTL14","AFFECTS","Neoplasm Metastasis","LIHC(Liver Hepatocellular Carcinoma)"
"364","33380825","METTL14 Inhibits Hepatocellular Carcinoma Metastasis Through Regulating EGFR/PI3K/AKT Signaling Pathway in an m6A-Dependent Manner.","m6A","regulate","EGFR/PI3K/AKT Signaling Pathway","Hepatocellular Carcinoma","m6A","AFFECTS","EGFR/PI3K/AKT Signaling Pathway","LIHC(Liver Hepatocellular Carcinoma)"
"438","33380825","METTL14 Inhibits Hepatocellular Carcinoma Metastasis Through Regulating EGFR/PI3K/AKT Signaling Pathway in an m6A-Dependent Manner.","EGFR/PI3K/AKT Signaling Pathway","inhibit","Metastasis","Hepatocellular Carcinoma","EGFR/PI3K/AKT Signaling Pathway","INHIBITS","Neoplasm Metastasis","LIHC(Liver Hepatocellular Carcinoma)"
"169","34336690","METTL3 Promotes the Resistance of Glioma to Temozolomide via Increasing MGMT and ANPG in a m6A Dependent Manner.","METTL3","promote the resistance of","Temozolomide","Glioma","METTL3","STIMULATES","temozolomide","Glioma"
"267","34336690","METTL3 Promotes the Resistance of Glioma to Temozolomide via Increasing MGMT and ANPG in a m6A Dependent Manner.","METTL3","regulate","m6A","Glioma","METTL3","AFFECTS","temozolomide","Glioma"
"365","34336690","METTL3 Promotes the Resistance of Glioma to Temozolomide via Increasing MGMT and ANPG in a m6A Dependent Manner.","m6A","increase","MGMT","Glioma","m6A","AUGMENTS","MGMT","Glioma"
"439","34336690","METTL3 Promotes the Resistance of Glioma to Temozolomide via Increasing MGMT and ANPG in a m6A Dependent Manner.","m6A","increase","ANPG","Glioma","m6A","AUGMENTS","MGMT","Glioma"
"519","34336690","METTL3 Promotes the Resistance of Glioma to Temozolomide via Increasing MGMT and ANPG in a m6A Dependent Manner.","MGMT","promote the resistance of","Resistance to Temozolomide","Glioma","MGMT","STIMULATES","Resistance to Temozolomide","Glioma"
"613","34336690","METTL3 Promotes the Resistance of Glioma to Temozolomide via Increasing MGMT and ANPG in a m6A Dependent Manner.","ANPG","promote the resistance of","Resistance to Temozolomide","Glioma","MPG","STIMULATES","Resistance to Temozolomide","Glioma"
"170","34438274","ALKBH5 promotes cadmium-induced transformation of human bronchial epithelial cells by regulating PTEN expression in an m6A-dependent manner.","ALKBH5","promote","cadmium-induced transformation","human bronchial epithelial cell","ALKBH5","STIMULATES","cadmium-induced transformation","human bronchial epithelial cell"
